,resort,piste_km
1,Schiwelt Wilder Kaiser - Brixental,333.2
2,Komperdell,325.3
3,Silvretta Schiarena,282.9
4,Hahnenkamm - Ehrenbachhöhe,206.4
5,Hochzillertal - Kaltenbach - Aschau,193.4
6,Ötztaler Gletscher,176.3
7,Schi Zell - Kreuzjochbahn,150.3
8,Hintertuxer Gletscher,139.1
9,Jochberg - Pass Thurn,107.1
10,Bergkastel - Tscheyeck - Nauders,96.0
11,Albonagrat - St. Anton,89.5
12,"Choralm - Westendorf, Kandleralm - Brixen",88.9
13,Alpbach,78.1
14,Harschbichl - St. Johann i.T.,75.0
15,Diasalpe - Kappl,69.0
16,Penken,67.2
17,Stubaier Gletscher,65.7
18,Schlick 2000,63.5
19,Streuböden - Fieberbrunn,62.5
20,Pitztaler Gletscher,58.0
21,Markbachjoch - Wildschönau,54.4
22,Hochalm - Berwang - Bichlbach,51.1
23,Schatzberg - Wildschönau,48.1
24,Medrigjoch - See ,43.9
25,Rosshütte - Härmelekopf,35.8
26,Obergurgl,34.8
27,Hochgurgl,33.7
28,Hochzeiger - Jerzens,33.3
29,Kühtai,33.1
30,Bergeralm - Steinach,32.9
31,Axamer Lizum,31.8
32,Kaunertaler Gletscher,29.5
33,Goldried - Matrei/Osttirol,26.7
34,Grubigstein - Lermoos,23.9
35,Rendl - St. Anton a.A.,23.2
36,Hochötz,22.7
37,Brunnalm - St. Jakob in Defereggen,22.2
38,Lämmerbichl-Rastkogel - Tux,22.2
39,Hochpustertal,22.0
40,Birkhahn - Galtür,21.5
41,Kitzbühler Horn,21.2
42,Golzentipp - Obertilliach,20.9
43,Venet - Zams - Fließ,18.8
44,Buchensteinwand - St. Jakob / St. Ulrich,18.5
45,Zwölferkopf - Eben,17.7
46,Ehrwalder Alm,17.6
47,Glocknerblick - Kals,16.3
48,Rifflsee - St. Leonhard ,16.1
49,Eggalm - Tux,15.6
50,Unterberghorn - Kössen,14.5
51,Glungezer - Tulfes,13.3
52,Spieljoch,13.1
53,Christlum - Achenkirch,13.1
54,Elfer - Neustift,13.0
55,Marienbergjoch,12.4
56,Schattwald - Zöblen,12.0
57,Patscherkofel,12.0
58,Ahornbahn - Mayrhofen,11.5
59,Zugspitzbahn - Sonnenlift,10.8
60,Fendels,9.8
61,Stablein - Vent,9.4
62,Reith i.A.,9.4
63,Füssener Jöchl - Schachenlifte,9.4
64,Steinplatte - Waidring,9.3
65,Kelchsau - Hopfgarten i.B.,8.9
66,Gschwandtkopf,8.8
67,Höfener Alm,8.5
68,Gerlossteinbahn,7.8
69,Neunerköpfle - Tannheim,7.8
70,Rangger Köpfl - Oberperfuß,7.7
71,Hochimst,7.6
72,Nordkette - Innsbruck,7.6
73,Rofan - Eben,7.4
74,Mutterer Alm,7.2
75,Kellerjochbahn - Schwaz,7.0
76,Gföllberglift - Holzgau,6.7
77,Gruberberg - Walchsee / Ebbs,6.2
78,Serleslift - Mieders,6.2
79,Bichlalm - Kitzbühel,6.2
80,Jöchelspitze - Bach,5.1
81,Albonagrat - St. Anton,4.9
82,Staller Sattel - St. Jakob in Defereggen,4.3
83,Dorfberg - Kartitsch,3.8
84,Gaisberg - Kirchberg,3.4
85,Schattberg - Thiersee,3.0
86,Rofanlifte - Steinberg,1.9
87,Erweiterung Gletscherschigebiet - Verbindung Ötztal-Pitztal,1.7
88,Schneeberg - Thiersee,1.6
89,Sonnwendjoch - Kramsach,1.6
90,Hausstattlift - Weerberg,1.4
91,Compedal - Assling,1.3
92,Oberau - Wildschönau,1.0
93,Grünberg - Obsteig,0.9
94,Kreith-Katzenkopf - Leutasch,0.9
95,Hochstein - Lienz,0.0
96,Lavenar - Pettneu,0.0
97,Praxmar - St. Sigmund i.S.,0.0
98,Kleinmutzkopf - Nauders,0.0
99,Zettersfeld - Lienz,0.0
100,Krinnenalpe - Nesselwängle,0.0
101,Medrigjoch - See ,0.0
102,Sorgschrofen - Jungholz,0.0
103,Hochkogel - Fieberbrunn,0.0
