,resort,pct_below_1800m,total_km
1,Stablein - Vent,0.0,11.9
2,Pitztaler Gletscher,0.0,75.2
3,Kaunertaler Gletscher,0.0,35.6
4,Kühtai,0.0,39.4
5,Albonagrat - St. Anton,0.0,6.4
6,Obergurgl,0.0,42.2
7,Lämmerbichl-Rastkogel - Tux,0.0,28.1
8,Staller Sattel - St. Jakob in Defereggen,0.0,5.5
9,Erweiterung Gletscherschigebiet - Verbindung Ötztal-Pitztal,0.0,1.9
10,Hochgurgl,0.4,42.0
11,Stubaier Gletscher,1.7,81.5
12,Ötztaler Gletscher,8.2,224.1
13,Hintertuxer Gletscher,8.9,169.2
14,Silvretta Schiarena,10.2,351.2
15,Hochzeiger - Jerzens,10.5,41.9
16,Diasalpe - Kappl,15.2,85.4
17,Bergkastel - Tscheyeck - Nauders,17.2,120.7
18,Rifflsee - St. Leonhard ,17.9,19.5
19,Medrigjoch - See ,19.0,55.3
20,Hochpustertal,20.6,27.7
21,Komperdell,21.4,412.4
22,Brunnalm - St. Jakob in Defereggen,22.9,28.4
23,Rendl - St. Anton a.A.,24.0,28.7
24,Hochötz,25.2,27.9
25,Birkhahn - Galtür,27.4,28.1
26,Goldried - Matrei/Osttirol,28.3,33.9
27,Schi Zell - Kreuzjochbahn,30.6,190.7
28,Golzentipp - Obertilliach,35.4,24.5
29,Penken,37.0,86.2
30,Albonagrat - St. Anton,38.2,114.0
31,Hochzillertal - Kaltenbach - Aschau,39.1,246.0
32,Schlick 2000,42.8,79.5
33,Axamer Lizum,47.6,38.9
34,Eggalm - Tux,52.6,19.9
35,Glungezer - Tulfes,53.1,15.8
36,Nordkette - Innsbruck,55.5,9.3
37,Bergeralm - Steinach,59.0,39.7
38,Spieljoch,60.8,16.3
39,Venet - Zams - Fließ,60.8,23.9
40,Fendels,62.7,12.9
41,Ahornbahn - Mayrhofen,63.0,14.9
42,Glocknerblick - Kals,68.7,20.5
43,Jochberg - Pass Thurn,72.3,136.6
44,Rangger Köpfl - Oberperfuß,76.1,10.7
45,Patscherkofel,76.7,15.0
46,Grubigstein - Lermoos,77.7,31.1
47,Elfer - Neustift,78.9,15.9
48,Alpbach,79.0,96.6
49,Hahnenkamm - Ehrenbachhöhe,85.3,257.0
50,Rosshütte - Härmelekopf,85.3,48.0
51,Schatzberg - Wildschönau,86.6,60.9
52,Ehrwalder Alm,86.7,23.1
53,Höfener Alm,88.6,11.3
54,Streuböden - Fieberbrunn,88.6,77.3
55,Füssener Jöchl - Schachenlifte,88.7,12.5
56,Hochimst,90.1,9.9
57,Rofan - Eben,90.8,8.8
58,Gerlossteinbahn,91.6,9.7
59,Bichlalm - Kitzbühel,94.4,8.1
60,Dorfberg - Kartitsch,95.2,5.3
61,Kellerjochbahn - Schwaz,95.5,8.9
62,Kitzbühler Horn,96.7,26.7
63,Marienbergjoch,97.4,15.5
64,"Choralm - Westendorf, Kandleralm - Brixen",97.7,110.9
65,Neunerköpfle - Tannheim,97.9,9.7
66,Schiwelt Wilder Kaiser - Brixental,99.7,414.8
67,Markbachjoch - Wildschönau,100.0,67.8
68,Hochalm - Berwang - Bichlbach,100.0,64.2
69,Kelchsau - Hopfgarten i.B.,100.0,11.4
70,Kreith-Katzenkopf - Leutasch,100.0,1.1
71,Zugspitzbahn - Sonnenlift,100.0,13.7
72,Sonnwendjoch - Kramsach,100.0,2.0
73,Grünberg - Obsteig,100.0,1.1
74,Reith i.A.,100.0,10.6
75,Gföllberglift - Holzgau,100.0,9.1
76,Compedal - Assling,100.0,1.8
77,Serleslift - Mieders,100.0,7.4
78,Zwölferkopf - Eben,100.0,22.1
79,Gaisberg - Kirchberg,100.0,4.5
80,Hausstattlift - Weerberg,100.0,2.0
81,Schneeberg - Thiersee,100.0,1.7
82,Schattberg - Thiersee,100.0,3.7
83,Harschbichl - St. Johann i.T.,100.0,88.7
84,Buchensteinwand - St. Jakob / St. Ulrich,100.0,23.4
85,Christlum - Achenkirch,100.0,18.1
86,Schattwald - Zöblen,100.0,14.8
87,Mutterer Alm,100.0,9.4
88,Rofanlifte - Steinberg,100.0,2.1
89,Jöchelspitze - Bach,100.0,6.6
90,Oberau - Wildschönau,100.0,1.2
91,Gruberberg - Walchsee / Ebbs,100.0,7.8
92,Unterberghorn - Kössen,100.0,17.7
93,Steinplatte - Waidring,100.0,10.9
94,Gschwandtkopf,100.0,10.6
