,resort,above_1800m_km,easy_above_km,expert_above_km,novice_above_km,intermediate_above_km,advanced_above_km,freeride_above_km,unknown_above_km,extreme_above_km
1,Komperdell,324.0,67.2,,0.0,201.6,34.1,21.1,,
2,Silvretta Schiarena,315.3,68.1,0.8,5.2,152.7,74.8,13.8,,
3,Ötztaler Gletscher,205.7,100.0,,0.3,69.8,35.6,,0.0,
4,Hintertuxer Gletscher,154.2,61.8,,,88.1,4.3,,,
5,Hochzillertal - Kaltenbach - Aschau,149.9,41.0,,,76.7,27.0,5.2,,
6,Schi Zell - Kreuzjochbahn,132.4,25.9,,0.9,94.3,10.8,0.5,,
7,Bergkastel - Tscheyeck - Nauders,99.9,16.3,0.9,0.6,60.1,15.9,6.2,,
8,Stubaier Gletscher,80.1,33.5,,1.9,37.2,5.7,1.9,,
9,Pitztaler Gletscher,75.2,28.9,,0.8,42.2,2.1,1.2,,
10,Diasalpe - Kappl,72.4,20.3,,,35.9,16.0,,0.3,
11,Albonagrat - St. Anton,70.4,23.3,,,25.5,12.8,8.7,,0.0
12,Penken,54.3,16.1,,0.4,31.5,6.2,,,
13,Schlick 2000,45.5,20.7,,0.0,17.6,4.0,3.1,,
14,Medrigjoch - See ,44.8,12.9,,0.3,26.0,5.6,0.0,,
15,Obergurgl,42.2,19.0,,,17.6,5.5,,0.1,
16,Hochgurgl,41.8,26.2,,,8.8,6.8,,,
17,Kühtai,39.4,3.8,0.6,0.7,27.6,6.7,,,
18,Jochberg - Pass Thurn,37.9,22.0,,,13.1,2.8,,,
19,Hahnenkamm - Ehrenbachhöhe,37.7,22.0,0.0,0.0,4.8,10.6,0.3,0.0,
20,Hochzeiger - Jerzens,37.5,8.1,,,20.0,8.4,1.0,0.0,
21,Kaunertaler Gletscher,35.6,15.5,,,13.4,6.7,,,
22,Lämmerbichl-Rastkogel - Tux,28.1,15.8,,0.2,11.8,0.4,,,
23,Goldried - Matrei/Osttirol,24.3,12.4,,,7.3,3.8,,0.8,
24,Hochpustertal,22.0,9.3,,,11.5,1.1,,,
25,Brunnalm - St. Jakob in Defereggen,21.9,5.2,,,11.2,5.4,,,
26,Rendl - St. Anton a.A.,21.8,6.3,,,8.2,5.6,1.6,,
27,Hochötz,20.9,9.1,,0.4,9.3,2.1,,,
28,Axamer Lizum,20.4,3.2,1.4,,12.2,2.5,0.7,0.5,
29,Birkhahn - Galtür,20.4,2.5,,0.0,12.7,4.6,,0.6,
30,Alpbach,20.3,8.5,,,10.0,1.8,,,
31,Bergeralm - Steinach,16.3,7.6,0.0,,5.7,3.0,,0.0,
32,Rifflsee - St. Leonhard ,16.1,4.6,,,5.9,4.9,0.6,,
33,Golzentipp - Obertilliach,15.8,4.2,,0.2,10.8,0.6,,,
34,Stablein - Vent,11.9,6.0,,,5.8,,,,
35,Eggalm - Tux,9.4,4.6,,,4.8,,,,
36,Venet - Zams - Fließ,9.4,2.6,,0.0,6.3,0.4,,,
37,Streuböden - Fieberbrunn,8.8,0.0,,,7.7,0.3,0.8,0.0,
38,Schatzberg - Wildschönau,8.2,0.8,,0.0,7.2,0.1,0.0,0.0,
39,Glungezer - Tulfes,7.4,0.0,,,7.1,0.3,,,
40,Rosshütte - Härmelekopf,7.1,0.4,,,6.0,0.7,,,
41,Grubigstein - Lermoos,6.9,2.0,,,3.2,0.7,1.1,,
42,Glocknerblick - Kals,6.4,0.0,,,3.7,2.7,,0.0,
43,Spieljoch,6.4,1.8,,,3.8,0.8,,,
44,Albonagrat - St. Anton,6.4,,,,3.1,,3.3,,
45,Staller Sattel - St. Jakob in Defereggen,5.5,,,,5.5,,,,
46,Ahornbahn - Mayrhofen,5.5,4.9,,,0.7,0.0,,,
47,Fendels,4.8,0.4,,,2.5,2.0,,,
48,Nordkette - Innsbruck,4.1,0.6,,,1.7,0.2,1.7,,
49,Patscherkofel,3.5,1.5,,,1.6,0.4,,,
50,Elfer - Neustift,3.3,,,,3.3,,0.1,,
51,Ehrwalder Alm,3.1,1.7,,,0.6,0.6,,0.2,
52,Rangger Köpfl - Oberperfuß,2.6,0.9,,0.0,1.7,0.0,,,
53,"Choralm - Westendorf, Kandleralm - Brixen",2.5,0.6,,,1.8,0.1,,,
54,Erweiterung Gletscherschigebiet - Verbindung Ötztal-Pitztal,1.9,0.1,,,1.9,,,,
55,Füssener Jöchl - Schachenlifte,1.4,0.0,,0.0,1.4,0.0,,,
56,Höfener Alm,1.3,0.0,0.0,,1.3,,,,
57,Schiwelt Wilder Kaiser - Brixental,1.2,0.0,,0.0,0.8,0.4,0.0,,
58,Hochimst,1.0,0.0,,,0.8,0.0,0.2,,
59,Kitzbühler Horn,0.9,0.0,,0.0,0.9,0.0,,,
60,Rofan - Eben,0.8,0.4,,,0.3,0.2,,,
61,Gerlossteinbahn,0.8,0.0,,,0.7,0.2,,,
62,Bichlalm - Kitzbühel,0.5,0.0,0.5,,,,,,
63,Kellerjochbahn - Schwaz,0.4,0.4,,,0.0,0.0,,,
64,Marienbergjoch,0.4,0.4,,,0.0,0.0,,,
65,Dorfberg - Kartitsch,0.3,0.0,,,0.3,,,,
66,Neunerköpfle - Tannheim,0.2,0.2,,0.0,0.0,0.0,0.0,,
67,Compedal - Assling,0.0,0.0,,,,,,,
68,Serleslift - Mieders,0.0,0.0,,,0.0,,,,
69,Zwölferkopf - Eben,0.0,0.0,,0.0,0.0,,,,
70,Zugspitzbahn - Sonnenlift,0.0,0.0,,,0.0,0.0,,,
71,Gföllberglift - Holzgau,0.0,0.0,,,0.0,,,,
72,Sonnwendjoch - Kramsach,0.0,0.0,,0.0,,,,,
73,Kelchsau - Hopfgarten i.B.,0.0,0.0,,,0.0,,,,
74,Hausstattlift - Weerberg,0.0,0.0,,,,,,,
75,Gaisberg - Kirchberg,0.0,0.0,,,0.0,0.0,,,
76,Kreith-Katzenkopf - Leutasch,0.0,,,,0.0,,,,
77,Grünberg - Obsteig,0.0,0.0,,,,,,,
78,Reith i.A.,0.0,0.0,,0.0,0.0,,,,
79,Harschbichl - St. Johann i.T.,0.0,0.0,,0.0,0.0,0.0,0.0,,
80,Buchensteinwand - St. Jakob / St. Ulrich,0.0,0.0,,0.0,0.0,0.0,,0.0,
81,Christlum - Achenkirch,-0.0,0.0,,,0.0,0.0,0.0,,
82,Schattwald - Zöblen,0.0,0.0,,,0.0,,0.0,,
83,Mutterer Alm,0.0,0.0,,,0.0,0.0,,,
84,Markbachjoch - Wildschönau,0.0,0.0,,0.0,0.0,0.0,0.0,,
85,Hochalm - Berwang - Bichlbach,0.0,0.0,,0.0,0.0,0.0,,,
86,Rofanlifte - Steinberg,0.0,0.0,,0.0,,,,,
87,Oberau - Wildschönau,0.0,0.0,,,,,,,
88,Unterberghorn - Kössen,0.0,0.0,,0.0,0.0,0.0,,,
89,Steinplatte - Waidring,0.0,0.0,,,0.0,0.0,0.0,0.0,
90,Gruberberg - Walchsee / Ebbs,0.0,0.0,,,0.0,,,,
91,Schneeberg - Thiersee,0.0,0.0,,,0.0,,,,
92,Schattberg - Thiersee,0.0,0.0,,,0.0,0.0,,,
93,Gschwandtkopf,0.0,0.0,,,,,,0.0,
94,Jöchelspitze - Bach,0.0,0.0,,,0.0,,,,
